,presupuesto,acciones,estado,valor,pred,dif
2017-01-03,100000,0,0,38.93,38.48995,
2017-01-04,100000,0,0,39.66,38.310295,-1.0
2017-01-05,28.639999999997812,2566.0,1,38.96,36.812134,1.0
2017-01-06,28.639999999997812,2566.0,0,38.62,40.006138,0.0
2017-01-09,28.639999999997812,2566.0,0,38.45,40.774036,0.0
2017-01-10,28.639999999997812,2566.0,0,38.36,39.822525,0.0
2017-01-11,28.639999999997812,2566.0,0,39.0,39.79756,0.0
2017-01-12,28.639999999997812,2566.0,0,38.52,39.03245,0.0
2017-01-13,28.639999999997812,2566.0,0,38.81,39.194096,0.0
2017-01-17,28.639999999997812,2566.0,0,37.8,38.57341,0.0
2017-01-18,28.639999999997812,2566.0,0,37.95,37.66928,0.0
2017-01-19,28.639999999997812,2566.0,0,37.91,37.7644,0.0
2017-01-20,28.639999999997812,2566.0,0,39.18,37.77562,0.0
2017-01-23,28.639999999997812,2566.0,0,39.33,37.400055,0.0
2017-01-24,28.639999999997812,2566.0,0,39.58,38.15911,0.0
2017-01-25,28.639999999997812,2566.0,0,39.67,39.131832,0.0
2017-01-26,28.639999999997812,2566.0,0,39.25,39.3447,0.0
2017-01-27,28.639999999997812,2566.0,0,39.47,38.87578,0.0
2017-01-30,28.639999999997812,2566.0,0,37.87,38.652042,0.0
2017-01-31,28.639999999997812,2566.0,0,38.52,38.463764,0.0
2017-02-01,28.639999999997812,2566.0,0,38.15,37.79579,0.0
2017-02-02,28.639999999997812,2566.0,0,38.26,37.339188,0.0
2017-02-03,28.639999999997812,2566.0,0,39.1,37.341724,0.0
2017-02-06,28.639999999997812,2566.0,0,36.97,37.661755,0.0
2017-02-07,28.639999999997812,2566.0,0,36.95,38.576733,0.0
2017-02-08,28.639999999997812,2566.0,0,35.38,37.435356,0.0
2017-02-09,28.639999999997812,2566.0,0,32.57,37.111294,0.0
2017-02-10,87195.66,0,-1,33.97,36.008053,-1.0
2017-02-13,87195.66,0,0,34.13,33.618065,0.0
2017-02-14,87195.66,0,0,33.76,33.813374,0.0
2017-02-15,87195.66,0,0,34.0,34.25089,0.0
2017-02-16,87195.66,0,0,33.67,33.916946,0.0
2017-02-17,87195.66,0,0,33.15,34.309586,-1.0
2017-02-21,87195.66,0,0,31.71,33.169098,0.0
2017-02-22,87195.66,0,0,30.89,32.462975,0.0
2017-02-23,87195.66,0,0,30.86,31.675285,-1.0
2017-02-24,87195.66,0,0,30.49,30.328623,0.0
2017-02-27,87195.66,0,0,28.69,30.652557,0.0
2017-02-28,87195.66,0,0,27.08,30.445694,-1.0
2017-03-01,87195.66,0,0,27.3,29.227314,-1.0
2017-03-02,87195.66,0,0,27.1,28.180712,0.0
2017-03-03,87195.66,0,0,25.81,27.606009,0.0
2017-03-06,87195.66,0,0,26.51,27.30098,-1.0
2017-03-07,87195.66,0,0,26.42,25.764698,0.0
2017-03-08,87195.66,0,0,26.34,26.50436,0.0
2017-03-09,87195.66,0,0,26.22,26.37313,0.0
2017-03-10,11.160000000001137,3315.0,1,26.3,26.054731,1.0
2017-03-13,86134.86,0,-1,25.98,27.742283,-1.0
2017-03-14,86134.86,0,0,25.62,26.643278,0.0
2017-03-15,86134.86,0,0,25.89,25.907349,0.0
2017-03-16,86134.86,0,0,26.27,26.143251,-1.0
2017-03-17,86134.86,0,0,26.25,25.262037,0.0
2017-03-20,86134.86,0,0,26.54,25.603317,0.0
2017-03-21,86134.86,0,0,25.66,25.206604,0.0
2017-03-22,86134.86,0,0,25.63,25.908873,0.0
2017-03-23,86134.86,0,0,25.76,26.137491,0.0
2017-03-24,86134.86,0,0,25.94,25.731724,0.0
2017-03-27,20.68000000000108,3502.0,1,24.59,25.337627,1.0
2017-03-28,84488.92000000001,0,-1,24.12,26.797478,-1.0
2017-03-29,84488.92000000001,0,0,24.76,25.691872,0.0
2017-03-30,84488.92000000001,0,0,24.67,25.206137,0.0
2017-03-31,84488.92000000001,0,0,24.4,24.98194,0.0
2017-04-03,84488.92000000001,0,0,23.55,25.445219,-1.0
2017-04-04,84488.92000000001,0,0,23.84,24.65399,0.0
2017-04-05,84488.92000000001,0,0,23.52,24.059778,0.0
2017-04-06,84488.92000000001,0,0,23.89,24.087229,0.0
2017-04-07,84488.92000000001,0,0,24.0,24.062998,0.0
2017-04-10,84488.92000000001,0,0,23.8,23.842571,0.0
2017-04-11,84488.92000000001,0,0,24.23,23.82143,0.0
2017-04-12,84488.92000000001,0,0,23.9,23.734938,0.0
2017-04-13,84488.92000000001,0,0,23.59,23.964731,0.0
2017-04-17,84488.92000000001,0,0,23.99,23.609762,0.0
2017-04-18,84488.92000000001,0,0,24.42,23.136395,0.0
2017-04-19,84488.92000000001,0,0,24.45,23.07596,0.0
2017-04-20,84488.92000000001,0,0,24.24,23.630907,0.0
2017-04-21,84488.92000000001,0,0,24.41,23.999075,0.0
2017-04-24,84488.92000000001,0,0,24.45,23.719223,0.0
2017-04-25,84488.92000000001,0,0,24.64,23.584358,0.0
2017-04-26,84488.92000000001,0,0,24.62,24.254852,0.0
2017-04-27,84488.92000000001,0,0,13.29,24.892426,0.0
2017-04-28,84488.92000000001,0,0,16.0025,24.520786,-1.0
2017-05-01,84488.92000000001,0,0,14.83,18.036732,0.0
2017-05-02,84488.92000000001,0,0,16.25,17.843822,0.0
2017-05-03,84488.92000000001,0,0,16.0,17.575205,-1.0
2017-05-04,8.320000000016691,5468.0,1,15.45,16.812399,1.0
2017-05-05,98377.64000000001,0,-1,17.99,17.449532,-1.0
2017-05-08,5.720000000024243,6024.0,1,16.33,16.141897,1.0
2017-05-09,5.720000000024243,6024.0,0,15.61,17.570154,0.0
2017-05-10,95004.20000000003,0,-1,15.77,17.1578,-1.0
2017-05-11,3.100000000023659,5945.0,1,15.98,14.391878,1.0
2017-05-12,92864.00000000001,0,-1,15.62,15.242956,-1.0
2017-05-15,12.080000000013186,6408.0,1,14.49,14.779774,1.0
2017-05-16,92703.80000000002,0,-1,14.465,15.41208,-1.0
2017-05-17,3.1400000000189525,6991.0,1,13.26,12.990431,1.0
2017-05-18,93717.49500000001,0,-1,13.405,13.96167,-1.0
2017-05-19,7.1550000000157965,6921.0,1,13.54,11.224309,1.0
2017-05-22,88734.37500000001,0,-1,12.82,13.118916,-1.0
2017-05-23,88734.37500000001,0,0,12.92,12.709422,-1.0
2017-05-24,88734.37500000001,0,0,13.06,11.2815075,-1.0
2017-05-25,3.815000000019838,6763.0,1,13.12,10.71088,1.0
2017-05-26,89613.56500000002,0,-1,13.25,11.915366,-1.0
2017-05-30,2.4850000000163934,6851.0,1,13.08,10.968079,1.0
2017-05-31,2.4850000000163934,6851.0,0,12.78,12.097277,1.0
2017-06-01,2.4850000000163934,6851.0,0,12.63,12.9637165,0.0
2017-06-02,2.4850000000163934,6851.0,0,12.96,12.642494,0.0
2017-06-05,87078.69500000002,0,-1,12.71,12.461388,-1.0
2017-06-06,11.795000000018991,7166.0,1,12.15,10.252798,1.0
2017-06-07,11.795000000018991,7166.0,0,12.08,11.281139,1.0
2017-06-08,11.795000000018991,7166.0,0,12.22,11.641375,0.0
2017-06-09,11.795000000018991,7166.0,0,12.2,11.696486,0.0
2017-06-12,11.795000000018991,7166.0,0,12.28,11.87424,0.0
2017-06-13,11.795000000018991,7166.0,0,12.13,11.96484,1.0
