Symbol,CompanyName
AAPL,Apple Inc.
SNCR,"Synchronoss Technologies, Inc."
GOOGL,Google Inc.
ATVI,"Activision Blizzard, Inc"
MINI,"Mobile Mini, Inc."
BBOX,Black Box Corporation
